--------------------
 phi 1 

0.0000000000
0.6051784684
1.2863350694
0.4411224815
-0.3858369610
-0.0149705914
0.0952675460
-0.0315413030
0.0042343456
0.0002109445
0.0000000000
--------------------
 phi 2 

0.0000000000
0.2847166242
0.6051784684
0.8981130495
1.2863350694
0.8899160481
0.4411224815
0.1394188819
-0.3858369610
-0.2029799345
-0.0149705914
-0.0405675714
0.0952675460
0.0299440599
-0.0315413030
0.0030251313
0.0042343456
-0.0015967977
0.0002109445
0.0000105087
0.0000000000
--------------------
 phi 3 

0.0000000000
0.1339498352
0.2847166242
0.4225327387
0.6051784684
0.7435712745
0.8981130495
1.0904440052
1.2863350694
1.1051725806
0.8899160481
0.7241088264
0.4411224815
0.3068719103
0.1394188819
-0.1256766460
-0.3858369610
-0.3029111519
-0.2029799345
-0.1580676019
-0.0149705914
-0.0369383602
-0.0405675714
0.0376206320
0.0952675460
0.0621040533
0.0299440599
0.0112766022
-0.0315413030
-0.0134252761
0.0030251313
-0.0023885148
0.0042343456
0.0016846828
-0.0015967977
0.0001494347
0.0002109445
-0.0000795485
0.0000105087
0.0000005235
0.0000000000
--------------------
 phi 4 

0.0000000000
0.0630190050
0.1339498352
0.1987877978
0.2847166242
0.3498259013
0.4225327387
0.5130181464
0.6051784684
0.6727998810
0.7435712745
0.8228287133
0.8981130495
0.9928749302
1.0904440052
1.1851973594
1.2863350694
1.2057376475
1.1051725806
1.0267277122
0.8899160481
0.8163911729
0.7241088264
0.5834741431
0.4411224815
0.3767508136
0.3068719103
0.2151906529
0.1394188819
0.0091382636
-0.1256766460
-0.2481331591
-0.3858369610
-0.3525431729
-0.3029111519
-0.2791762699
-0.2029799345
-0.1878204192
-0.1580676019
-0.0860229462
-0.0149705914
-0.0267185112
-0.0369383602
-0.0287611689
-0.0405675714
-0.0018064484
0.0376206320
0.0607730982
0.0952675460
0.0808962158
0.0621040533
0.0531170443
0.0299440599
0.0222625466
0.0112766022
-0.0103502902
-0.0315413030
-0.0229161101
-0.0134252761
-0.0092656417
0.0030251313
-0.0002027825
-0.0023885148
0.0021626754
0.0042343456
0.0028903047
0.0016846828
0.0005437156
-0.0015967977
-0.0006592017
0.0001494347
-0.0001190531
0.0002109445
0.0000839267
-0.0000795485
0.0000074445
0.0000105087
-0.0000039629
0.0000005235
0.0000000261
0.0000000000
--------------------
ψ

-32 	 0.0000000000
-31 	 0.0066730459
-30 	 0.0141838704
-29 	 0.0210495246
-28 	 0.0301484782
-27 	 0.0370428618
-26 	 0.0447417466
-25 	 0.0543231939
-24 	 0.0640819970
-23 	 0.0712423891
-22 	 0.0787363309
-21 	 0.0871288552
-20 	 0.0951006699
-19 	 0.1051349504
-18 	 0.1154664832
-17 	 0.1254998609
-16 	 0.1362092744
-15 	 0.0928745337
-14 	 0.0430563662
-13 	 -0.0010549057
-12 	 -0.0629933910
-11 	 -0.1067335129
-10 	 -0.1566553738
-9 	 -0.2215149097
-8 	 -0.2874811758
-7 	 -0.3316393202
-6 	 -0.3781201036
-5 	 -0.4315956857
-4 	 -0.4811925966
-3 	 -0.5473172985
-2 	 -0.6154723214
-1 	 -0.6807638249
0 	 -0.7511954210
1 	 -0.5004888828
2 	 -0.2115807814
3 	 0.0427747848
4 	 0.4027464690
5 	 0.6543496449
6 	 0.9422906343
7 	 1.3185881352
8 	 1.7011153546
9 	 1.3834606960
10 	 1.0076491700
11 	 0.7281716340
12 	 0.2344398591
13 	 0.0269279784
14 	 -0.2376320974
15 	 -0.6804409224
16 	 -1.1082307113
17 	 -0.9063164642
18 	 -0.6694698401
19 	 -0.5284055117
20 	 -0.2041437743
21 	 -0.1777776402
22 	 -0.1138538001
23 	 0.1036095867
24 	 0.2874811758
25 	 0.2122820909
26 	 0.1307035777
27 	 0.0871363577
28 	 -0.0290863330
29 	 0.0021102131
30 	 0.0225309060
31 	 -0.0204251887
32 	 -0.0399883730
33 	 -0.0272955005
34 	 -0.0159098312
35 	 -0.0051347491
36 	 0.0150798611
37 	 0.0062253780
38 	 -0.0014112334
39 	 0.0011243153
40 	 -0.0019921208
41 	 -0.0007925880
42 	 0.0007512410
43 	 -0.0000703041
44 	 -0.0000992425
45 	 0.0000374249
46 	 -0.0000049440
47 	 -0.0000002463
48 	 0.0000000000
--------------------
 φj

0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
